Timestamp,Are these things sports? [Chess],Are these things sports? [eSports (Videogames)],Are these things sports? [Ping Pong (Table Tennis)],Are these things sports? [Foosball],Are these things sports? [Skiing],Are these things sports? [Snowboarding],Are these things sports? [Cycling],Are these things sports? [Bowling],Are these things sports? [Golf],Are these things sports? [Ultimate Frisbee],Are these things sports? [Sailing],Are these things sports? [Rowing (Crew)],Are these things sports? [Frisbee Golf],Are these things sports? [Kickball],Are these things sports? [Scrabble],Are these things sports? [Cornhole],Are these things sports? [Pickleball],"In a few words, what makes a sport a sport in your opinion?",Which of the following have you played in the past year?,Which of the following is your favorite to play?,How often would you say you watch televised sports or sports content on channels like ESPN?,Which one of the following best describes you?,Please rate your opinion towards P.E./Gym Class when you were in school.,What is your age?,To which gender do you most closely identify?,Which race/ethnicity best describes you? (Please choose only one.),What was your total household income before taxes during the past 12 months?,In which state do you currently live?,"What zip code did you grow up in? (Enter ""00000"" if outside of the US)",Are these things sports? [NASCAR],Are these things sports? [Crossfit]
10/18/2019 14:17:37,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Competitive physical activity,"Skiing, Cycling, Ping Pong, Foosball, Bowling, Basketball, Cornhole",Skiing,A few times a week,Casual mainstream/traditional sports fan,3,25-29,Female,White/Caucasian,"$50,000 to $100,000",District of Columbia,49648,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly
10/18/2019 14:21:19,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,"For me it's a division based on physical activity. All of these involve skill, but sports are a combination of skill and athletics/moderate or more physical activity. ",Cornhole,Bowling,Never,Not a mainstream/traditional sports fan,1,35-39,Female,White/Caucasian,"$50,000 to $100,000",Arkansas,23860,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
10/18/2019 14:21:46,Never heard of/Don't know what this is,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,I must be able to televise it and sell ad time for bamboozlingly high amounts of dollars,"Chess, Skiing, Sailing",Sailing,Never,Not a mainstream/traditional sports fan,5,25-29,Male,Multiple ethnicity/Other,"Under $50,000",Missouri,63060,Never heard of/Don't know what this is,Not a Sport - Feel Strongly
10/18/2019 14:31:40,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,"Generally, if you would consider someone who does the activity an athlete. For example, a snowboarder is an athlete, but someone who plays scrabble is not. ","Skiing, Bowling, Cornhole",Skiing,Once a week,Casual mainstream/traditional sports fan,3,18-24,Female,White/Caucasian,"Under $50,000",Washington,49464,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
10/18/2019 14:46:33,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,It’s like obscenity. I can’t explain it but I know it when I see it,eSports (Videogames),eSports (Videogames),Once a month,Casual mainstream/traditional sports fan,1,35-39,Male,Multiple ethnicity/Other,"Over $100,000",Maryland,22182,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/18/2019 14:56:53,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Physical activity that can be turned into a competition.,"Soccer, Volleyball, Cycling, Ping Pong, Bowling, Ultimate Frisbee, Frisbee Golf, Kickball, Cornhole, Pickleball",Ultimate Frisbee,Once a week,Casual mainstream/traditional sports fan,3,35-39,Female,Multiple ethnicity/Other,"$50,000 to $100,000",District of Columbia,64114,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/18/2019 14:58:59,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Never heard of/Don't know what this is,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,"Physical activity, high level competitions exist for it ","Ping Pong, Foosball, Bowling, Golf, Basketball, Cornhole",Basketball,Once a week,Casual mainstream/traditional sports fan,2,25-29,Female,White/Caucasian,"$50,000 to $100,000",Virginia,94066,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
10/18/2019 15:04:07,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Whatever competitive and physical endeavor worthy of air-time on ESPN 8: The Ocho,"Skiing, Cycling, Ping Pong, Foosball, Bowling, Golf, Cornhole, Pickleball, Crossfit",Golf,A few times a week,Avid mainstream/traditional sports fan,5,30-34,Male,White/Caucasian,"Over $100,000",Washington,98290,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/18/2019 15:27:17,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Never heard of/Don't know what this is,competition,"Chess, Soccer, Foosball, Golf, Basketball, Cornhole",Basketball,A few times a week,Avid mainstream/traditional sports fan,5,25-29,Male,Asian/Pacific Islander,Not sure/Refuse,Massachusetts,20001,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly
10/18/2019 15:33:12,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Competition that includes an element of physicality,"Chess, eSports (Videogames), Skiing, Cycling, Ping Pong, Foosball, Scrabble, Cornhole",Ultimate Frisbee,A few times a week,Casual mainstream/traditional sports fan,5,25-29,Male,Asian/Pacific Islander,"$50,000 to $100,000",District of Columbia,97520,Sport - Don't Feel Strongly,Never heard of/Don't know what this is
10/18/2019 15:46:12,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,"Skilled, coordinated movement of entire body combined with strategy","Chess, Soccer, Cycling, Bowling, Golf, Kickball, Scrabble, Cornhole",Kickball,Once a month,Casual mainstream/traditional sports fan,4,30-34,Female,White/Caucasian,"$50,000 to $100,000",Missouri,77096,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
10/18/2019 15:53:08,Never heard of/Don't know what this is,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,,"Ping Pong, Foosball, Bowling, Golf, Cornhole",Foosball,Never,Casual mainstream/traditional sports fan,1,25-29,Female,White/Caucasian,"$50,000 to $100,000",District of Columbia,49341,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly
10/18/2019 16:03:36,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,"It requires some kind of physical skill or ability or endurance that can be improved upon and you need to practice either the conditions or the skills (i.e. it is not a random game of chance, nor is it purely an intellectual pursuit)","Soccer, Volleyball",Volleyball,Once a month,Casual mainstream/traditional sports fan,1,25-29,Female,Black or African American,"$50,000 to $100,000",Outside of US,00000,Sport - Don't Feel Strongly,Sport - Feel Strongly
10/18/2019 16:08:02,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,A requirement of skill and athleticism ,"Foosball, Scrabble, Cornhole",eSports (Videogames),Never,Not a mainstream/traditional sports fan,1,18-24,Female,White/Caucasian,"$50,000 to $100,000",Minnesota,55056,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly
10/18/2019 16:12:04,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Physical exertion and some modicum of strategy/talent,"Chess, Bowling, Scrabble, Cornhole",Kickball,A few times a week,Avid mainstream/traditional sports fan,2,18-24,Female,White/Caucasian,"Under $50,000",District of Columbia,43054,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
10/18/2019 16:29:08,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Physical exertion for the purpose of camaraderie or competition ,"Bowling, Scrabble",Scrabble,Never,Not a mainstream/traditional sports fan,1,25-29,Female,White/Caucasian,"Under $50,000",Washington,98337,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/18/2019 16:30:17,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,A sport is a team based competition involving some degree of skill,"Soccer, Cycling, Ping Pong, Bowling, Ultimate Frisbee, Sailing, Cornhole, Pickleball",Soccer,Never,Not a mainstream/traditional sports fan,5,25-29,Female,White/Caucasian,"Over $100,000",District of Columbia,19312,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly
10/18/2019 16:35:22,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,¯\_(ツ)_/¯,"Cycling, Ping Pong, Foosball, Scrabble, Cornhole",Ping Pong,Once a month,Casual mainstream/traditional sports fan,1,25-29,Female,Asian/Pacific Islander,Not sure/Refuse,Massachusetts,48108,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
10/18/2019 16:37:24,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,competition + needed athletic ability,eSports (Videogames),eSports (Videogames),Once a month,Casual mainstream/traditional sports fan,2,45-49,Male,White/Caucasian,"$50,000 to $100,000",Michigan,60515,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/18/2019 16:44:34,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,there needs to be athletic training involved to be good at it. If it's 100% sitting it's not a sport.,Cycling,Cycling,Never,Not a mainstream/traditional sports fan,2,25-29,Female,White/Caucasian,"$50,000 to $100,000",District of Columbia,01519,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly
10/18/2019 16:48:52,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,,"Skiing, Foosball, Bowling, Sailing, Scrabble",Volleyball,Once a month,Casual mainstream/traditional sports fan,2,25-29,Female,White/Caucasian,"$50,000 to $100,000",District of Columbia,07090,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
10/18/2019 17:12:44,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,A competition of athleticism,"Chess, Soccer, Football, eSports (Videogames), Volleyball, Cycling, Ping Pong, Bowling, Golf, Ultimate Frisbee, Basketball, Cornhole",Cornhole,A few times a week,Avid mainstream/traditional sports fan,3,25-29,Male,White/Caucasian,"Under $50,000",Michigan,48124,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
10/18/2019 17:15:28,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,A competition requiring athletic skills that are honed by training mind and body,"Chess, Soccer, Football, eSports (Videogames), Volleyball, Skiing, Cycling, Ping Pong, Foosball, Bowling, Golf",Football,Once a week,Avid mainstream/traditional sports fan,5,25-29,Male,White/Caucasian,"Over $100,000",Illinois,49024,Sport - Feel Strongly,Sport - Feel Strongly
10/18/2019 17:37:24,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Never heard of/Don't know what this is,,"eSports (Videogames), Bowling, Scrabble, Cornhole",Scrabble,Once a month,Casual mainstream/traditional sports fan,1,30-34,Female,Hispanic or Latino,"Under $50,000",Virginia,22201,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
10/18/2019 18:14:25,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,something that is a physical activity with competition and where the physical as well as mental attributes of each competitor determine the final outcome of the game or match. Stamina and keeping up phisically with the competition matter here. ,"Chess, Soccer, Football, Cycling, Ping Pong, Basketball, Cornhole",Basketball,A few times a week,Avid mainstream/traditional sports fan,2,35-39,Male,White/Caucasian,"Over $100,000",California,94127,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
10/18/2019 19:56:05,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Competition + physical exertion.,Scrabble,Scrabble,Once a week,Casual mainstream/traditional sports fan,2,45-49,Female,White/Caucasian,"$50,000 to $100,000",Michigan,48039,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly
10/18/2019 20:30:14,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,Never heard of/Don't know what this is,"competitive, athletic, requires real physical exertion","Chess, Soccer, Football, eSports (Videogames), Cycling, Ping Pong, Foosball, Bowling, Basketball, Kickball, Scrabble",Skiing,Once a month,Casual mainstream/traditional sports fan,3,25-29,Male,White/Caucasian,"$50,000 to $100,000",Virginia,75248,Sport - Feel Strongly,Not a Sport - Feel Strongly
10/18/2019 20:30:44,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Physical Athletics + Competition + Exertion/Exhausation,"Chess, eSports (Videogames), Foosball, Cornhole",Soccer,A few times a week,Casual mainstream/traditional sports fan,5,30-34,Male,White/Caucasian,"Under $50,000",New York,85755,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
10/19/2019 1:25:17,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,Never heard of/Don't know what this is,,"Chess, Cycling, Scrabble",Ping Pong,Once a month,Casual mainstream/traditional sports fan,4,18-24,Female,White/Caucasian,"Under $50,000",Wisconsin,53190,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/19/2019 9:02:12,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,The level of training and commitment required to excel in performance and competition,"Skiing, Cycling, Sailing, Scrabble, Cornhole",Scrabble,Once a month,Casual mainstream/traditional sports fan,1,50+,Female,White/Caucasian,"Over $100,000",Washington,98121,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/19/2019 9:35:10,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Competition that relies on physical ability that can be improved with practice.,Scrabble,Scrabble,Never,Not a mainstream/traditional sports fan,3,50+,Female,White/Caucasian,"$50,000 to $100,000",Michigan,11542,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
10/19/2019 9:39:06,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Never heard of/Don't know what this is,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,Never heard of/Don't know what this is,has to include physical activity/reflexes and also fuck golf,"Soccer, eSports (Videogames)",Soccer,Never,Not a mainstream/traditional sports fan,2,25-29,nonbinary,White/Caucasian,"Under $50,000",Outside of US,00000,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/19/2019 9:57:32,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Never heard of/Don't know what this is,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,"Has to have some element of physical activity, with rare personally biased exceptions like esports.  Some sports are closer to “games” than sports though, IMO.  I don’t think it’s black and white, some things that make certain sports a sport don’t exactly apply to something else that I consider a game.","Chess, Football, eSports (Videogames), Skiing, Ping Pong, Bowling, Golf, Cornhole",Skiing,Once a week,Casual mainstream/traditional sports fan,5,25-29,Male,White/Caucasian,"$50,000 to $100,000",District of Columbia,44321,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly
